Structure,bandgap
AgBaAuCdO6,0
AgBaAuHgO6,0
AgBaMoCdO6,0
AgBiO3,0
AgBrO3,0.1524
AgCaRePtO6,0
AgCdAuTaO6,0
AgCdAuTiO6,0
AgCdReAuO6,0.0215
AgCsReAuO6,0.0005
AgCsTaAuO6,0
AgCsZrSnO6,0
AgCsZrTeO6,1.5453
AgCuReAuO6,0
AgEuReAuO6,0
AgEuTiAuO6,0
AgEuWMgO6,0
AgHfO3,0
AgHgAuTaO6,0
AgHgAuTiO6,0
AgHgReAuO6,0.0338
AgHgWAlO6,0.0315
AgIrO3,0
AgKReAuO6,0
AgKTaAuO6,0
AgLiAuTaO6,0
AgMgFe2O6,0
AgMgReAuO6,0
AgMgW2O6,0
AgMnReAuO6,0
AgMoO3,0
AgNaReAuO6,0
AgNbO3,1.3336
AgNO3,0
AgOsO3,0
AgPbO3,0
AgPbWAlO6,2.0298
AgPdAuTiO6,0
AgPdO3,0
AgPdReAuO6,0
AgPO3,0
AgPtO3,0
AgRbReAuO6,0.0277
AgRbTaAuO6,0
AgReO3,0
AgRhO3,0
AgRuO3,0
AgSbO3,0.0946
AgSnO3,0
AgTaO3,1.7306
AgTcO3,0
AgTiO3,0
AgTlAuTaO6,0
AgTlAuTiO6,0
AgTlHfNiO6,0
AgTlHfPtO6,0
AgTlHfSiO6,0
AgTlReAuO6,0
AgTlSbScO6,0.0137
AgVO3,0.0297
AgWO3,0
AgYbWMgO6,0
AgZnReAuO6,0.0415
AgZrO3,0
AlBO3,0
AsBO3,0.5587
AuAsO3,0
AuBaMnInO6,0.0058
AuCoO3,0
AuCrO3,0
AuFeO3,0
AuGaO3,0
AuIO3,0
AuMnO3,0
AuMoO3,0
AuNbO3,0.4446
AuNiO3,0
AuOsO3,0
AuReO3,0
AuSbO3,0
AuSmMnInO6,0
AuTaO3,0.4156
AuTcO3,0.0034
AuWO3,0
Ba2AlNbO6,2.7926
Ba2AsTmO6,2.8158
Ba2AuCeO6,0
Ba2AuDyO6,1.4181
Ba2AuErO6,1.3331
Ba2AuEuO6,0
Ba2AuGdO6,1.4011
Ba2AuHoO6,1.3898
Ba2AuLaO6,1.6354
Ba2AuLuO6,1.1592
Ba2AuNdO6,1.5054
Ba2AuPmO6,1.4824
Ba2AuPrO6,1.5275
Ba2AuScO6,1.0544
Ba2AuSmO6,1.4711
Ba2AuTaO6,0.1045
Ba2AuTbO6,1.4293
Ba2AuTiO6,0.054
Ba2AuTmO6,1.2644
Ba2AuYbO6,0
Ba2AuYO6,1.4209
Ba2BiCeO6,0
Ba2BiCrO6,0.0393
Ba2BiDyO6,1.7331
Ba2BiIrO6,0
Ba2BiNbO6,2.1098
Ba2BiPrO6,1.7796
Ba2BiRuO6,0.0008
Ba2BiTmO6,1.5339
Ba2BiVO6,1.1225
Ba2BiYbO6,0
Ba2CaMoO6,2.258
Ba2CaReO6,0
Ba2CaWO6,3.183
Ba2CdMoO6,2.5376
Ba2CdOsO6,0
Ba2CdReO6,0
Ba2CdTeO6,0.7433
Ba2CeIrO6,0
Ba2CePtO6,1.4204
Ba2CeSnO6,2.1444
Ba2CeTaO6,0
Ba2CoIrO6,0
Ba2CoMoO6,0
Ba2CoReO6,0.1982
Ba2CoTaO6,1.5328
Ba2CoTeO6,0
Ba2CoWO6,0
Ba2CrEuO6,0
Ba2CrGdO6,0
Ba2CrLaO6,0.4783
Ba2CrOsO6,0
Ba2CrPrO6,0
Ba2CrReO6,0
Ba2CrTaO6,1.1131
Ba2CrTlO6,0
Ba2CrTmO6,0
Ba2CuOsO6,0
Ba2CuTeO6,0
Ba2DyOsO6,0
Ba2DyReO6,0
Ba2DySbO6,3.4688
Ba2DyTaO6,3.3837
Ba2DyWO6,0
Ba2ErBiO6,1.6093
Ba2ErIrO6,0
Ba2ErMoO6,0
Ba2ErOsO6,0
Ba2ErRuO6,0.0716
Ba2ErSbO6,3.3776
Ba2ErTaO6,3.3934
Ba2EuBiO6,0
Ba2EuMoO6,0.0479
Ba2EuNbO6,0
Ba2EuOsO6,0
Ba2EuRuO6,0
Ba2EuSbO6,0
Ba2EuTaO6,0
Ba2FeBiO6,0.0125
Ba2FeMoO6,0
Ba2FeNbO6,1.455
Ba2FeOsO6,0
Ba2FeSbO6,0.4621
Ba2FeTaO6,1.8623
Ba2FeWO6,0
Ba2GaNbO6,3.0858
Ba2GdBiO6,1.5941
Ba2GdMoO6,0.0706
Ba2GdNbO6,2.6644
Ba2GdReO6,0
Ba2GdSbO6,3.4839
Ba2GdTaO6,3.2148
Ba2GdWO6,0
Ba2HfSeO6,2.5301
Ba2HfSiO6,4.0303
Ba2HfSnO6,3.6238
Ba2HfTaO6,0.0784
Ba2HfTbO6,0
Ba2HfTiO6,2.3047
Ba2HfZrO6,3.2399
Ba2HoBiO6,1.6702
Ba2HoIrO6,0
Ba2HoOsO6,0
Ba2HoRuO6,0.076
Ba2HoSbO6,3.4155
Ba2HoTaO6,3.3782
Ba2IGaO6,0.6349
Ba2InBiO6,0.208
Ba2InIrO6,0
Ba2InNbO6,3.3486
Ba2InOsO6,0.4224
Ba2InReO6,0
Ba2InRuO6,0
Ba2InSbO6,0.524
Ba2InTaO6,3.9459
Ba2IrDyO6,0
Ba2IrEuO6,0
Ba2IrLaO6,0
Ba2IrLuO6,0
Ba2IrNdO6,0
Ba2IrPmO6,0
Ba2IrTmO6,0
Ba2IrYO6,0
Ba2LaBiO6,1.7697
Ba2LaRuO6,0
Ba2LaSbO6,3.8812
Ba2LaTaO6,3.4492
Ba2LiIO6,0
Ba2LiOsO6,0
Ba2LiReO6,1.8198
Ba2MgMoO6,2.2648
Ba2MgOsO6,0
Ba2MgTeO6,1.7447
Ba2MnIrO6,0
Ba2MnLaO6,0
Ba2MnMoO6,1.2654
Ba2MnNbO6,0
Ba2MnOsO6,0
Ba2MnPrO6,0
Ba2MnRuO6,0
Ba2MnTaO6,0
Ba2MnTeO6,0.9486
Ba2MnWO6,2.2267
Ba2MoCrO6,0
Ba2MoDyO6,0
Ba2MoInO6,0
Ba2MoLuO6,0
Ba2MoZnO6,2.3852
Ba2NaIO6,2.2417
Ba2NaOsO6,0
Ba2NaReO6,1.8688
Ba2NbCeO6,0
Ba2NbDyO6,2.8514
Ba2NbErO6,2.8542
Ba2NbHoO6,2.8516
Ba2NbLaO6,2.9716
Ba2NbLuO6,2.8479
Ba2NbNdO6,2.9195
Ba2NbScO6,2.5719
Ba2NbSmO6,2.9075
Ba2NbTlO6,2.0997
Ba2NbTmO6,2.8502
Ba2NbYO6,2.8514
Ba2NdBiO6,1.7565
Ba2NdMoO6,0
Ba2NdOsO6,0
Ba2NdReO6,0
Ba2NdRuO6,0.1258
Ba2NdSbO6,3.6649
Ba2NdTaO6,3.3164
Ba2NdWO6,1.7938
Ba2NiMoO6,2.3514
Ba2NiNbO6,0
Ba2NiReO6,0
Ba2NiTeO6,0
Ba2NiWO6,3.3409
Ba2OsCaO6,0
Ba2OsCoO6,0
Ba2OsGdO6,0.1217
Ba2OsLaO6,0
Ba2OsLuO6,0
Ba2OsNiO6,0
Ba2OsPmO6,0
Ba2OsSrO6,0
Ba2OsTbO6,0
Ba2OsYO6,0.0551
Ba2PbMoO6,0.7948
Ba2PrIrO6,0
Ba2PrNbO6,2.8965
Ba2PrOsO6,0
Ba2PrPtO6,0
Ba2PrRuO6,0.1345
Ba2PrSbO6,3.6484
Ba2PrSiO6,0
Ba2PrSnO6,0
Ba2PrTaO6,3.3056
Ba2PrWO6,1.8049
Ba2PtErO6,0
Ba2PtHoO6,0
Ba2PtLuO6,0
Ba2PtScO6,0
Ba2PtTaO6,0
Ba2ReAuO6,0.0265
Ba2ReErO6,0
Ba2ReFeO6,0
Ba2ReHoO6,0
Ba2ReLaO6,0
Ba2ReLuO6,0
Ba2ReMgO6,0
Ba2ReMnO6,0
Ba2RhLuO6,0
Ba2RhNbO6,0.8889
Ba2RhRuO6,0
Ba2RhTmO6,0
Ba2RuDyO6,0
Ba2RuLuO6,0.0556
Ba2RuTmO6,0.0645
Ba2RuYbO6,0
Ba2SbBiO6,1.7228
Ba2SbCoO6,0
Ba2SbGaO6,0
Ba2SbRhO6,0.0295
Ba2SbTaO6,1.7457
Ba2SbTbO6,3.5072
Ba2SbTlO6,0
Ba2ScBiO6,1.4499
Ba2ScIrO6,0
Ba2ScMoO6,0.0055
Ba2ScOsO6,0
Ba2ScReO6,0
Ba2ScSbO6,0
Ba2ScTaO6,3.0173
Ba2SeCaO6,2.01
Ba2SeDyO6,0.0303
Ba2SeEuO6,0
Ba2SeSmO6,0
Ba2SeSrO6,2.3123
Ba2SeTmO6,0.0248
Ba2SeVO6,0
Ba2SeYbO6,1.8964
Ba2SmBiO6,2.4961
Ba2SmIrO6,0
Ba2SmMoO6,0
Ba2SmOsO6,0.0705
Ba2SmReO6,0
Ba2SmRuO6,0
Ba2SmSbO6,3.6054
Ba2SmTaO6,3.3634
Ba2SmWO6,1.7704
Ba2SrMoO6,1.9975
Ba2SrReO6,0
Ba2SrTeO6,3.1393
Ba2SrWO6,3.2199
Ba2TaAlO6,3.5129
Ba2TaBiO6,2.6759
Ba2TaGaO6,3.8431
Ba2TaTlO6,2.241
Ba2TaZrO6,0.0781
Ba2TbBiO6,1.7238
Ba2TbIrO6,0
Ba2TbNbO6,2.8523
Ba2TbPbO6,0
Ba2TbReO6,0
Ba2TbRuO6,0
Ba2TbSeO6,0.0353
Ba2TbSiO6,0
Ba2TbSnO6,0
Ba2TbTaO6,3.371
Ba2TcLaO6,0
Ba2TcLuO6,0
Ba2TcYO6,0
Ba2TeCaO6,2.9976
Ba2TiNbO6,0.0036
Ba2TiTaO6,0
Ba2TlBiO6,0
Ba2TmOsO6,0
Ba2TmReO6,0
Ba2TmSbO6,3.3118
Ba2TmTaO6,3.4065
Ba2VDyO6,1.3571
Ba2VErO6,1.3491
Ba2VEuO6,0
Ba2VGdO6,1.2986
Ba2VHoO6,1.3529
Ba2VLaO6,1.714
Ba2VNbO6,0
Ba2VNdO6,1.6381
Ba2VPrO6,1.6605
Ba2VTaO6,0.0224
Ba2VTbO6,1.3611
Ba2VTlO6,0.9766
Ba2VTmO6,1.3431
Ba2VYbO6,0
Ba2VYO6,1.3586
Ba2WAlO6,0
Ba2WCdO6,3.0818
Ba2WCrO6,0
Ba2WEuO6,0.0113
Ba2WLuO6,0.0416
Ba2WMgO6,3.2231
Ba2YBiO6,1.7585
Ba2YbIrO6,0.0005
Ba2YbMoO6,2.2435
Ba2YbNbO6,0
Ba2YbOsO6,0
Ba2YbReO6,0
Ba2YbSbO6,0
Ba2YbTaO6,0
Ba2YMoO6,0
Ba2YReO6,0
Ba2YRuO6,0.0903
Ba2YSbO6,3.5377
Ba2YTaO6,3.362
Ba2ZnOsO6,0
Ba2ZnReO6,0
Ba2ZnTeO6,0.4444
Ba2ZnWO6,3.3679
Ba2ZrSiO6,3.3925
Ba2ZrSnO6,3.6894
Ba2ZrTbO6,0
Ba2ZrTiO6,2.2161
BaAgNbInO6,0.0113
BaAuCrInO6,0.1767
BaBiNaTeO6,1.2034
BaCaAuGdO6,1.5628
BaCaAuTaO6,0.1096
BaCaAuTmO6,1.5053
BaCaAuYbO6,0
BaCaAuYO6,1.6117
BaCaBiTmO6,1.8256
BaCaBiYO6,1.9733
BaCaPtTaO6,0
BaCaReAuO6,0
BaCaSbTaO6,1.3478
BaCaSbTmO6,3.3085
BaCaTaBiO6,2.33
BaCaTaInO6,3.9787
BaCdAuTiO6,0
BaCdPtTaO6,0
BaCdReAuO6,0
BaCeO3,2.299
BaCO3,0
BaCoO3,0
BaCrO3,0
BaCsCrInO6,0.6328
BaCsMnInO6,0.0244
BaCsMnTbO6,0
BaCsReAlO6,0
BaCsReDyO6,0.0645
BaCsReInO6,0
BaCsReYO6,0.0659
BaCsTaZrO6,2.4753
BaCsWAlO6,2.5134
BaCsWDyO6,2.4265
BaCsWInO6,2.79
BaCsWTbO6,2.4215
BaCsWTlO6,1.1167
